"X_N10_Nuria_S301_L001"	"X_N11_Nuria_S302_L001"	"X_N12_Nuria_S303_L001"	"X_N1_Nuria_S292_L001"	"X_N2_Nuria_S293_L001"	"X_N3_Nuria_S294_L001"	"X_N4_Nuria_S295_L001"	"X_N5_Nuria_S296_L001"	"X_N6_Nuria_S297_L001"	"X_N7_Nuria_S298_L001"	"X_N8_Nuria_S299_L001"	"X_N9_Nuria_S300_L001"
"k2_0630129"	0	0	0	0	0	0	0	0	1753	0	0	0
"k2_0649756"	0	0	0	0	0	0	0	0	79	0	0	0
"k2_0712991"	0	0	0	0	0	0	0	0	21	0	0	0
"k2_0756892"	0	0	0	0	0	0	0	0	0	67	0	0
"k2_1197717"	0	0	0	0	0	0	0	0	50	0	0	0
"k2_1297617"	0	0	0	0	0	0	0	0	144	0	0	0
"k2_1324352"	0	0	0	0	0	0	0	0	28	0	0	0
"k2_1335613"	0	0	0	0	0	0	0	0	651	0	0	0
"k2_1511894"	0	0	0	0	0	0	0	10	2678	0	0	0
"k2_1712675"	0	0	0	0	0	0	0	0	29	0	0	0
"k2_1796613"	0	0	0	0	0	0	0	0	395	0	0	0
"k2_1805478"	0	0	0	0	0	0	0	0	562	0	0	0
"k2_1805714"	0	0	0	0	0	0	0	0	2228	0	0	0
"k2_1834196"	0	0	0	0	0	0	0	0	38	0	0	0
"k2_1834198"	0	0	0	0	0	0	0	0	91	0	0	0
"k2_1834207"	0	0	0	0	0	0	0	0	242	0	0	0
"k2_1852373"	0	0	0	0	0	0	0	0	113	0	0	0
"k2_1871021"	0	0	0	64	0	139	0	0	33635	104	59	0
"k2_1903686"	0	0	0	0	0	0	0	0	0	62	0	0
"k2_1912897"	0	0	0	0	0	0	0	0	243	0	0	0
"k2_2086584"	0	0	0	0	0	78	0	0	26568	145	69	0
"k2_2094242"	0	0	0	0	0	0	0	0	186	0	0	0
