"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0588605"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Robinsoniella"	"NA"	"kai__0588605"
"kai__1573534"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Faecalitalea"	"NA"	"kai__1573534"
"kai__2005359"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Faecalicatena"	"NA"	"kai__2005359"
"kai__0420345"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Lactonifactor"	"NA"	"kai__0420345"
"kai__0990721"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Christensenellaceae"	"Christensenella"	"NA"	"kai__0990721"
"kai__1763508"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnotalea"	"NA"	"kai__1763508"
"kai__0084111"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"	"NA"	"kai__0084111"
"kai__0000522"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acidiphilium"	"NA"	"kai__0000522"
"kai__2172004"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Lawsonibacter"	"NA"	"kai__2172004"
"kai__2126006"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Enteroscipio"	"NA"	"kai__2126006"
"kai__1573536"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Faecalicoccus"	"NA"	"kai__1573536"
"kai__0241189"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Hespellia"	"NA"	"kai__0241189"
"kai__1918385"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Acutalibacter"	"NA"	"kai__1918385"
"kai__1843210"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerocolumna"	"NA"	"kai__1843210"
"kai__1987010"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Massilimaliae"	"NA"	"kai__1987010"
"kai__0000906"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Megasphaera"	"NA"	"kai__0000906"
"kai__0000872"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"NA"	"kai__0000872"
"kai__0061170"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	"NA"	"kai__0061170"
"kai__0000848"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	"NA"	"kai__0000848"
"kai__1427378"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Acetatifactor"	"NA"	"kai__1427378"
"kai__1506577"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Tyzzerella"	"NA"	"kai__1506577"
"kai__1508657"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Ruminiclostridium"	"NA"	"kai__1508657"
"kai__1924081"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Bariatricus"	"NA"	"kai__1924081"
"kai__1929305"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Pygmaiobacter"	"NA"	"kai__1929305"
"kai__1663717"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Herbinix"	"NA"	"kai__1663717"
"kai__0084108"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Slackia"	"NA"	"kai__0084108"
"kai__1472762"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Enorma"	"NA"	"kai__1472762"
"kai__0002147"	"Tenericutes"	"Mollicutes"	"Acholeplasmatales"	"Acholeplasmataceae"	"Acholeplasma"	"NA"	"kai__0002147"
"kai__2304692"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Hungateiclostridium"	"NA"	"kai__2304692"
"kai__0044748"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Sporobacter"	"NA"	"kai__0044748"
"kai__1929045"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Traorella"	"NA"	"kai__1929045"
"kai__0035829"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Acetivibrio"	"NA"	"kai__0035829"
"kai__0079206"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfosporosinus"	"NA"	"kai__0079206"
"kai__1980693"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Negativibacillus"	"NA"	"kai__1980693"
"kai__1855714"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerobium"	"NA"	"kai__1855714"
"kai__1926677"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Raoultibacter"	"NA"	"kai__1926677"
"kai__1470349"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Candidatus Stoquefichus"	"NA"	"kai__1470349"
"kai__0028050"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospira"	"NA"	"kai__0028050"
"kai__0100175"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Papillibacter"	"NA"	"kai__0100175"
"kai__0001266"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"NA"	"kai__0001266"
"kai__0596767"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Hydrogenoanaerobacterium"	"NA"	"kai__0596767"
"kai__0698776"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Cellulosilyticum"	"NA"	"kai__0698776"
"kai__1987016"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Provencibacterium"	"NA"	"kai__1987016"
"kai__2163168"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Kineothrix"	"NA"	"kai__2163168"
"kai__0158846"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Megamonas"	"NA"	"kai__0158846"
"kai__0002383"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Epulopiscium"	"NA"	"kai__0002383"
"kai__1164882"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoanaerobaculum"	"NA"	"kai__1164882"
"kai__0001380"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	"NA"	"kai__0001380"
"kai__0135858"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Catenibacterium"	"NA"	"kai__0135858"
"kai__1987749"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Marasmitruncus"	"NA"	"kai__1987749"
"kai__0264995"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Anaerofustis"	"NA"	"kai__0264995"
"kai__0653683"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerosporobacter"	"NA"	"kai__0653683"
"kai__0195950"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Tannerella"	"NA"	"kai__0195950"
"kai__0258514"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Acetanaerobacterium"	"NA"	"kai__0258514"
"kai__0390805"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Geosporobacter"	"NA"	"kai__0390805"
"kai__1769710"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Sellimonas"	"NA"	"kai__1769710"
"kai__1470353"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Candidatus Soleaferrea"	"NA"	"kai__1470353"
"kai__1348911"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Barnesiellaceae"	"Coprobacter"	"NA"	"kai__1348911"
"kai__0123375"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Solobacterium"	"NA"	"kai__0123375"
"kai__1892380"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Harryflintia"	"NA"	"kai__1892380"
"kai__0033951"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Acetobacterium"	"NA"	"kai__0033951"
"kai__1738645"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Caproiciproducens"	"NA"	"kai__1738645"
"kai__0508459"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Cloacibacillus"	"NA"	"kai__0508459"
"kai__0036853"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfitobacterium"	"NA"	"kai__0036853"
"kai__1926556"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	"Emergencia"	"NA"	"kai__1926556"
"kai__1348611"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Defluviitaleaceae"	"Vallitalea"	"NA"	"kai__1348611"
"kai__0001562"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfotomaculum"	"NA"	"kai__0001562"
"kai__0651554"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Paraeggerthella"	"NA"	"kai__0651554"
"kai__0044258"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Caloramator"	"NA"	"kai__0044258"
"kai__0043996"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Catonella"	"NA"	"kai__0043996"
"kai__1981028"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Mailhella"	"NA"	"kai__1981028"
"kai__0001257"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptostreptococcus"	"NA"	"kai__0001257"
"kai__2304693"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Pseudoclostridium"	"NA"	"kai__2304693"
"kai__0253238"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ethanoligenens"	"NA"	"kai__0253238"
"kai__0002034"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Curtobacterium"	"NA"	"kai__0002034"
"kai__0399320"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sphaerochaeta"	"NA"	"kai__0399320"
"kai__1407607"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	"NA"	"kai__1407607"
"kai__0638847"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Pyramidobacter"	"NA"	"kai__0638847"
"kai__0177971"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Shuttleworthia"	"NA"	"kai__0177971"
"kai__0140625"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnobacterium"	"NA"	"kai__0140625"
"kai__0329857"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Cohnella"	"NA"	"kai__0329857"
"kai__0002375"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Sporomusa"	"NA"	"kai__0002375"
"kai__1573535"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	"NA"	"kai__1573535"
"kai__2060094"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	"Aminipila"	"NA"	"kai__2060094"
"kai__2126002"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Rubneribacter"	"NA"	"kai__2126002"
"kai__0031980"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Acetitomaculum"	"NA"	"kai__0031980"
"kai__0039948"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"	"NA"	"kai__0039948"
"kai__0082373"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Anaerovibrio"	"NA"	"kai__0082373"
"kai__2005386"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Arabia"	"NA"	"kai__2005386"
"kai__1780122"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Mobilisporobacter"	"NA"	"kai__1780122"
"kai__1486725"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Anaerobacterium"	"NA"	"kai__1486725"
"kai__2304691"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Thermoclostridium"	"NA"	"kai__2304691"
"kai__0040544"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	"NA"	"kai__0040544"
"kai__0519427"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Sharpea"	"NA"	"kai__0519427"
"kai__0055080"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Brevibacillus"	"NA"	"kai__0055080"
"kai__0115543"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Parasporobacterium"	"NA"	"kai__0115543"
"kai__1923867"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Gabonia"	"NA"	"kai__1923867"
"kai__1918540"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Muribaculum"	"NA"	"kai__1918540"
"kai__0114627"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Alkaliphilus"	"NA"	"kai__0114627"
"kai__0239934"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"NA"	"kai__0239934"
"kai__1408818"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Youngiibacter"	"NA"	"kai__1408818"
"kai__0028895"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family III. Incertae Sedis"	"Thermoanaerobacterium"	"NA"	"kai__0028895"
"kai__1213720"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Stomatobaculum"	"NA"	"kai__1213720"
"kai__2304687"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Petroclostridium"	"NA"	"kai__2304687"
"kai__0044000"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family III. Incertae Sedis"	"Caldicellulosiruptor"	"NA"	"kai__0044000"
"kai__1973274"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Niameybacter"	"NA"	"kai__1973274"
"kai__2060871"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Lactomassilus"	"NA"	"kai__2060871"
"kai__0715222"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Caldicoprobacteraceae"	"Caldicoprobacter"	"NA"	"kai__0715222"
"kai__0001647"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelothrix"	"NA"	"kai__0001647"
"kai__0056112"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Dehalobacter"	"NA"	"kai__0056112"
"kai__0109326"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	"Anaerovorax"	"NA"	"kai__0109326"
"kai__1472649"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Dielma"	"NA"	"kai__1472649"
"kai__0061434"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidales"	"Dehalococcoidaceae"	"Dehalococcoides"	"NA"	"kai__0061434"
"kai__0079328"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Chitinophaga"	"NA"	"kai__0079328"
"kai__0112902"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Propionispora"	"NA"	"kai__0112902"
"kai__1766253"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Agathobacter"	"NA"	"kai__1766253"
"kai__1935192"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	"Mobilibacterium"	"NA"	"kai__1935192"
"kai__0029330"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"Alicyclobacillus"	"NA"	"kai__0029330"
"kai__1273095"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerosphaera"	"NA"	"kai__1273095"
"kai__0002330"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halanaerobiaceae"	"Halanaerobium"	"NA"	"kai__0002330"
"kai__0113286"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Pseudoramibacter"	"NA"	"kai__0113286"
"kai__1155385"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Proteiniclasticum"	"NA"	"kai__1155385"
"kai__0174708"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Allobaculum"	"NA"	"kai__0174708"
"kai__1279388"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Kandleria"	"NA"	"kai__1279388"
"kai__0041273"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Tissierellaceae"	"Tissierella"	"NA"	"kai__0041273"
"kai__0270497"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Catabacteriaceae"	"Catabacter"	"NA"	"kai__0270497"
"kai__1922299"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Beduini"	"NA"	"kai__1922299"
"kai__0165812"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"NA"	"Sporanaerobacter"	"NA"	"kai__0165812"
"kai__0252965"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family IV. Incertae Sedis"	"Mahella"	"NA"	"kai__0252965"
"kai__0040840"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Succiniclasticum"	"NA"	"kai__0040840"
"kai__1929083"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Tidjanibacter"	"NA"	"kai__1929083"
"kai__0055079"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Aneurinibacillus"	"NA"	"kai__0055079"
"kai__1185408"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Defluviitaleaceae"	"Defluviitalea"	"NA"	"kai__1185408"
"kai__1729679"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Faecalibaculum"	"NA"	"kai__1729679"
"kai__0086331"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	"Mogibacterium"	"NA"	"kai__0086331"
"kai__1481960"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptoclostridium"	"NA"	"kai__1481960"
"kai__0862261"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Caldanaerobius"	"NA"	"kai__0862261"
"kai__2039302"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Monoglobus"	"NA"	"kai__2039302"
"kai__0667112"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Lutispora"	"NA"	"kai__0667112"
"kai__1161127"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Murdochiella"	"NA"	"kai__1161127"
"kai__1434006"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Fretibacterium"	"NA"	"kai__1434006"
"kai__0031983"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Helcococcus"	"NA"	"kai__0031983"
"kai__0000862"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Syntrophomonadaceae"	"Syntrophomonas"	"NA"	"kai__0000862"
"kai__0002172"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	"NA"	"kai__0002172"
"kai__0059732"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"NA"	"kai__0059732"
"kai__0674963"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Succinatimonas"	"NA"	"kai__0674963"
"kai__0190972"	"Firmicutes"	"Tissierellia"	"NA"	"NA"	"Sedimentibacter"	"NA"	"kai__0190972"
"kai__1849828"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Paeniclostridium"	"NA"	"kai__1849828"
"kai__0156973"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Dysgonamonadaceae"	"Dysgonomonas"	"NA"	"kai__0156973"
"kai__0184869"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Varibaculum"	"NA"	"kai__0184869"
"kai__0001754"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Thermoanaerobacter"	"NA"	"kai__0001754"
"kai__0084567"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	"NA"	"kai__0084567"
"kai__1937664"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Criibacterium"	"NA"	"kai__1937664"
"kai__0002753"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Synergistes"	"NA"	"kai__0002753"
"kai__0044261"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Oxobacter"	"NA"	"kai__0044261"
"kai__2126548"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Miniphocibacter"	"NA"	"kai__2126548"
"kai__1937008"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Dubosiella"	"NA"	"kai__1937008"
"kai__0365348"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Pelosinus"	"NA"	"kai__0365348"
"kai__0044260"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Moorella"	"NA"	"kai__0044260"
"kai__2316020"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Mediterraneibacter"	"NA"	"kai__2316020"
"kai__1926663"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Phocea"	"NA"	"kai__1926663"
"kai__1505652"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	"NA"	"kai__1505652"
"kai__0013687"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"NA"	"kai__0013687"
"kai__0419014"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Alloscardovia"	"NA"	"kai__0419014"
"kai__0000890"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadaceae"	"Desulfuromonas"	"NA"	"kai__0000890"
"kai__0084162"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Cryptobacterium"	"NA"	"kai__0084162"
"kai__0696745"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Alkalibaculum"	"NA"	"kai__0696745"
"kai__1279384"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Eggerthia"	"NA"	"kai__1279384"
"kai__0028231"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"	"NA"	"kai__0028231"
"kai__0076008"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XII. Incertae Sedis"	"Fusibacter"	"NA"	"kai__0076008"
"kai__0084034"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Propionispira"	"NA"	"kai__0084034"
"kai__0218204"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Garciella"	"NA"	"kai__0218204"
"kai__0499228"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Tepidanaerobacter"	"NA"	"kai__0499228"
"kai__1427376"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Parvibacter"	"NA"	"kai__1427376"
"kai__0150022"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Finegoldia"	"NA"	"kai__0150022"
"kai__2005355"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Faecalimonas"	"NA"	"kai__2005355"
"kai__0214904"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Tepidibacter"	"NA"	"kai__0214904"
"kai__1505660"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Asaccharospora"	"NA"	"kai__1505660"
"kai__0415014"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Proteiniborus"	"NA"	"kai__0415014"
"kai__1611681"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Mucinivorans"	"NA"	"kai__1611681"
"kai__0001298"	"Deinococcus-Thermus"	"Deinococci"	"Deinococcales"	"Deinococcaceae"	"Deinococcus"	"NA"	"kai__0001298"
"kai__0043994"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Johnsonella"	"NA"	"kai__0043994"
"kai__1913599"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptoanaerobacter"	"NA"	"kai__1913599"
"kai__0648799"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Thermotalea"	"NA"	"kai__0648799"
"kai__0178898"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XVI. Incertae Sedis"	"Carboxydocella"	"NA"	"kai__0178898"
"kai__2282740"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfallas"	"NA"	"kai__2282740"
"kai__1689250"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Gorillibacterium"	"NA"	"kai__1689250"
"kai__1302778"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Pseudoscardovia"	"NA"	"kai__1302778"
