"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__2048137"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Agathobaculum"	"NA"	"kai__2048137"
"kai__0001357"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"NA"	"kai__0001357"
"kai__0037914"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Dietzia"	"NA"	"kai__0037914"
"kai__0182709"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Oceanobacillus"	"NA"	"kai__0182709"
"kai__0046255"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Weissella"	"NA"	"kai__0046255"
"kai__0261684"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Thermosinus"	"NA"	"kai__0261684"
"kai__0002747"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Carnobacterium"	"NA"	"kai__0002747"
"kai__1505663"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelatoclostridium"	"NA"	"kai__1505663"
"kai__0046254"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Oenococcus"	"NA"	"kai__0046254"
"kai__0459786"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	"Oscillibacter"	"NA"	"kai__0459786"
"kai__1924093"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Anaeromassilibacillus"	"NA"	"kai__1924093"
"kai__0001654"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"NA"	"kai__0001654"
"kai__0083461"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Myxococcaceae"	"Corallococcus"	"NA"	"kai__0083461"
"kai__1870884"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Clostridioides"	"NA"	"kai__1870884"
"kai__0000413"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"	"Methylococcus"	"NA"	"kai__0000413"
"kai__0029465"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"	"NA"	"kai__0029465"
"kai__0129337"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Geobacillus"	"NA"	"kai__0129337"
"kai__0000841"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	"NA"	"kai__0000841"
"kai__0379065"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Caldalkalibacillus"	"NA"	"kai__0379065"
