"X_N10_Nuria_S301_L001"	"X_N11_Nuria_S302_L001"	"X_N12_Nuria_S303_L001"	"X_N1_Nuria_S292_L001"	"X_N2_Nuria_S293_L001"	"X_N3_Nuria_S294_L001"	"X_N4_Nuria_S295_L001"	"X_N5_Nuria_S296_L001"	"X_N6_Nuria_S297_L001"	"X_N7_Nuria_S298_L001"	"X_N8_Nuria_S299_L001"	"X_N9_Nuria_S300_L001"
"k2_0190064"	0	0	0	0	0	0.03361	1	0.19768	0.00226	0	0	0
"k2_0190065"	0	0.00075	0	0	0	0	0	0	0	0	0	0
"k2_0197614"	0	0	0	0	0	0	0	0	0.00031	0	0	0
"k2_0208479"	0	0	0	0	0	0	0	0	0.00188	0	0	0
"k2_0214856"	0	0	0	0	0	0.00784	0	0	0.02536	0	0	0.00402
"k2_0216816"	0	0	0	0	0	0	0	0	0.02057	0	0	0
"k2_0246432"	0	0	0	0	0	0	0	0	0	0.00034	0	0
"k2_0246787"	0	0	0	0	0	0	0	0	0.00082	0	0	0
"k2_0267818"	0.00386	0.00514	0.00535	0	0	0	0	0	0.00032	0.00589	0	0
"k2_0292800"	0	0	0	0	0	0	0	0	0.00206	0	0	0
"k2_0301301"	0	0	0	0	0	0	0	0	0.02058	0	0	0
"k2_0315405"	0	0	0	0	0	0	0	0	0.00315	0	0	0
"k2_0357276"	0	0.00056	0	0.01922	0	0	0	0	0.00037	0.00121	0.03951	0
"k2_0397865"	0.00074	0.00035	0	0.01845	0	0	0	0	0.00083	0.00073	0.02391	0
"k2_0502558"	0	0	0	0	0	0	0	0	0.00188	0	0	0
"k2_0522485"	0	0	0	0	0	0	0	0	7e-04	0	0	0
"k2_0630129"	0	0	0	0	0	0	0	0	0.00739	0	0	0
"k2_0649756"	0	0	0	0	0	0	0	0	0.00033	0	0	0
"k2_0712991"	0	0	0	0	0	0	0	0	9e-05	0	0	0
"k2_0756892"	0	0	0	0	0	0	0	0	0	0.00026	0	0
"k2_1197717"	0	0	0	0	0	0	0	0	0.00021	0	0	0
"k2_1297617"	0	0	0	0	0	0	0	0	0.00061	0	0	0
"k2_1324352"	0	0	0	0	0	0	0	0	0.00012	0	0	0
"k2_1335613"	0	0	0	0	0	0	0	0	0.00274	0	0	0
"k2_1511894"	0	0	0	0	0	0	0	0.00414	0.01128	0	0	0
"k2_1712675"	0	0	0	0	0	0	0	0	0.00012	0	0	0
"k2_1796613"	0	0	0	0	0	0	0	0	0.00166	0	0	0
"k2_1805478"	0	0	0	0	0	0	0	0	0.00237	0	0	0
"k2_1805714"	0	0	0	0	0	0	0	0	0.00939	0	0	0
"k2_1834196"	0	0	0	0	0	0	0	0	0.00016	0	0	0
"k2_1834198"	0	0	0	0	0	0	0	0	0.00038	0	0	0
"k2_1834207"	0	0	0	0	0	0	0	0	0.00102	0	0	0
"k2_1852373"	0	0	0	0	0	0	0	0	0.00048	0	0	0
"k2_1871021"	0	0	0	0.04919	0	0.07787	0	0	0.14171	0.00041	0.01001	0
"k2_1903686"	0	0	0	0	0	0	0	0	0	0.00024	0	0
"k2_1912897"	0	0	0	0	0	0	0	0	0.00102	0	0	0
"k2_2086584"	0	0	0	0	0	0.0437	0	0	0.11194	0.00057	0.0117	0
"k2_2094242"	0	0	0	0	0	0	0	0	0.00078	0	0	0
