k__Archaea	p__Candidatus_Bathyarchaeota	s__Candidatus_Bathyarchaeota_archaeon
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermofilaceae	g__Thermofilum	s__Thermofilum_adornatus
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermofilaceae	g__Thermofilum	s__Thermofilum_carboxyditrophus
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermofilaceae	g__Thermofilum	s__Thermofilum_pendens
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermofilaceae	g__Thermofilum	s__Thermofilum_uzonense
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Caldivirga	s__Caldivirga_maquilingensis
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Caldivirga	s__Caldivirga_sp._MU80
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum_aerophilum
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum_arsenaticum
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum_islandicum
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Thermoproteus	s__Thermoproteus_sp._CP80
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Thermoproteus	s__Thermoproteus_tenax
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Thermoproteus	s__Thermoproteus_uzoniensis
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Vulcanisaeta	s__Vulcanisaeta_distributa
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Vulcanisaeta	s__Vulcanisaeta_moutnovskia
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Vulcanisaeta	s__Vulcanisaeta_sp._EB80
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Vulcanisaeta	s__Vulcanisaeta_thermophila
k__Archaea	p__Euryarchaeota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus_fulgidus
