"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__0189330"	0	15	21	15	0	41	0	0	12470	107	43	0
"kai__0045667"	0	14	0	0	0	0	0	0	100	0	0	0
"kai__1903506"	0	14	10	37	10	62	0	18	24048	190	92	13
"kai__1082702"	0	13	0	0	0	0	0	0	0	0	0	0
"kai__0001375"	0	12	35	0	0	54	0	0	344	382	0	218
"kai__0150247"	0	12	31	0	0	0	0	0	76	34	0	0
"kai__0000970"	0	11	29	0	0	0	0	0	2127	45	0	0
"kai__0032067"	0	11	0	0	0	0	0	0	335	0	0	0
"kai__0052784"	0	11	0	13	0	29	0	12	9569	78	27	0
"kai__0068287"	0	11	19	0	0	0	0	0	98	15	0	21
"kai__0084406"	0	11	14	0	0	0	0	0	292	29	0	0
"kai__0244127"	0	11	0	16	0	25	0	0	12386	55	27	0
"kai__0000157"	0	10	12	0	0	0	0	0	2783	20	0	0
"kai__0051668"	0	10	23	0	0	0	0	0	220	18	0	13
"kai__0574697"	0	10	0	24	0	48	0	0	20378	22	0	38
"kai__0644652"	0	10	0	10	0	0	0	0	4091	17	0	0
"kai__1940255"	0	10	0	18	0	24	0	22	9472	37	18	0
"kai__2039240"	0	10	0	0	0	19	0	0	5338	42	16	0
"kai__0002013"	0	0	112	0	0	0	0	0	56	431	0	0
"kai__0577310"	0	0	44	0	0	0	0	0	204	26	0	0
"kai__0099906"	0	0	29	0	0	0	0	0	146	26	0	0
"kai__0013075"	0	0	28	0	0	0	0	0	57	46	0	0
"kai__0029521"	0	0	27	0	0	0	0	0	545	19	0	0
"kai__0001372"	0	0	26	0	0	0	0	0	266	12	0	0
"kai__0670516"	0	0	24	0	0	0	0	0	133	1090	0	37
"kai__0028236"	0	0	23	0	0	0	0	0	57	15	0	0
"kai__2057233"	0	0	21	0	0	0	0	0	1427	13	0	0
"kai__0165779"	0	0	20	0	0	0	0	0	684	16	0	0
"kai__0046205"	0	0	19	0	0	0	0	0	1972	16	0	0
"kai__0066831"	0	0	19	0	0	0	0	0	182	26	0	0
"kai__1906945"	0	0	19	0	0	0	0	0	37	19	0	0
"kai__0002053"	0	0	18	0	0	0	0	0	54	30	0	0
"kai__0029574"	0	0	18	0	0	0	0	0	60	0	0	0
"kai__1470540"	0	0	18	0	0	0	0	0	168	226	0	0
"kai__0002077"	0	0	17	0	0	0	0	0	235	14	0	0
"kai__0052225"	0	0	17	0	0	0	0	0	478	0	0	0
"kai__0240233"	0	0	16	0	0	0	0	0	17	11	0	0
"kai__0033882"	0	0	15	0	0	0	0	0	242	213	0	26
"kai__0083660"	0	0	15	0	0	0	0	0	65	0	0	0
"kai__0665568"	0	0	15	0	0	0	0	0	0	11	0	0
"kai__0000482"	0	0	14	0	0	0	0	0	113	40	0	0
"kai__0001763"	0	0	14	0	0	0	0	0	126	23	0	0
"kai__0001873"	0	0	14	0	0	0	0	0	89	15	0	0
"kai__0162291"	0	0	14	0	0	0	0	0	52	0	0	0
"kai__0000237"	0	0	13	0	0	0	0	0	341	64	0	0
"kai__0000613"	0	0	13	0	0	0	0	0	72	0	0	0
"kai__0001663"	0	0	13	0	0	0	0	0	175	118	0	30
