"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__1924062"	0	0	0	0	0	0	0	0	138	0	0	0
"kai__0448125"	0	0	0	0	0	0	0	0	135	0	0	0
"kai__1926659"	0	0	0	0	0	0	0	0	134	0	10	0
"kai__0146813"	0	0	0	0	0	0	0	0	133	0	0	0
"kai__0000893"	0	0	0	0	0	0	0	0	131	0	0	0
"kai__0186831"	0	0	0	0	0	0	0	0	131	0	0	0
"kai__2093783"	0	0	0	0	0	0	0	0	131	0	0	0
"kai__2498454"	0	0	0	0	0	0	0	0	131	0	0	0
"kai__0306539"	0	0	0	0	0	0	0	0	130	0	0	0
"kai__0001016"	0	0	0	0	0	0	0	0	129	0	0	0
"kai__0033986"	0	0	0	0	0	0	0	0	129	14	0	14
"kai__1930845"	0	0	0	0	0	0	0	0	129	0	0	0
"kai__1637257"	0	0	0	0	0	0	0	0	128	0	0	0
"kai__1486726"	0	0	0	0	0	0	0	0	127	0	0	0
"kai__0083770"	0	0	0	0	0	0	0	0	126	0	0	0
"kai__1283313"	0	0	0	0	0	0	0	0	126	0	0	0
"kai__0000379"	0	0	0	0	0	0	0	0	125	19	0	16
"kai__0043668"	0	0	0	0	0	0	0	0	124	6386	27	0
"kai__0577309"	0	0	0	0	0	0	0	0	123	10	0	0
"kai__0000445"	0	0	0	0	0	0	0	0	122	0	0	0
"kai__0000866"	0	0	0	0	0	0	0	0	122	0	0	0
"kai__0028453"	0	0	0	0	0	0	0	0	121	285	0	0
"kai__0001378"	0	0	0	0	0	0	0	0	120	10	0	0
"kai__0002373"	0	0	0	0	0	0	0	0	120	0	0	0
"kai__0171003"	0	0	0	0	0	0	0	0	120	0	0	0
"kai__0553372"	0	0	0	0	0	0	0	0	120	0	0	0
"kai__1715798"	0	0	0	0	0	0	0	0	119	0	0	0
"kai__0293136"	0	0	0	0	0	0	0	0	118	0	0	0
"kai__1347386"	0	0	0	0	0	0	0	0	118	0	0	0
"kai__1769713"	0	0	0	0	0	0	0	0	117	0	0	0
"kai__0032068"	0	0	0	0	0	0	0	0	116	0	0	0
"kai__0051514"	0	0	0	0	0	0	0	0	116	0	0	0
"kai__0055506"	0	0	0	0	0	0	0	0	115	0	0	0
"kai__1193503"	0	0	0	0	0	0	0	0	113	0	0	0
"kai__1935188"	0	0	0	0	0	0	0	0	113	0	0	0
"kai__0117563"	0	0	0	0	0	0	0	0	111	0	0	0
"kai__0065402"	0	0	0	0	0	0	0	0	110	0	0	0
"kai__0274470"	0	0	0	0	0	0	0	0	110	0	0	0
"kai__0423349"	0	0	0	0	0	0	0	0	110	0	0	0
"kai__0040323"	0	0	0	0	0	0	0	0	109	20	0	0
"kai__0000146"	0	0	0	0	0	0	0	0	108	0	0	0
"kai__0285105"	0	0	0	0	0	0	0	0	108	0	0	0
"kai__1911556"	0	0	0	0	0	0	0	0	108	0	0	0
"kai__0000713"	0	0	0	0	0	0	0	0	106	0	0	0
"kai__0200903"	0	0	0	0	0	0	0	0	106	0	0	0
"kai__0253255"	0	0	0	0	0	0	0	0	106	0	0	0
"kai__0002740"	0	0	0	0	0	0	0	0	105	0	0	0
"kai__0051196"	0	0	0	0	0	0	0	0	105	0	0	0
"kai__0002050"	0	0	0	0	0	0	0	0	103	0	0	0
"kai__2004411"	0	0	0	0	0	0	0	0	102	0	0	0
"kai__1403538"	0	0	0	0	0	0	0	0	101	0	0	0
"kai__0069894"	0	0	0	0	0	0	0	0	100	0	0	0
"kai__0456492"	0	0	0	0	0	0	0	0	100	0	0	0
"kai__1472763"	0	0	0	0	0	0	0	0	99	0	0	0
"kai__1980038"	0	0	0	0	0	0	0	0	99	0	0	26
"kai__0048736"	0	0	0	0	0	0	0	0	98	0	0	0
"kai__0166484"	0	0	0	0	0	0	0	0	98	0	0	0
"kai__0001847"	0	0	0	0	0	0	0	0	97	10	0	0
"kai__0002207"	0	0	0	0	0	0	0	0	97	0	0	0
"kai__1473205"	0	0	0	0	0	0	0	0	97	0	0	0
"kai__0042447"	0	0	0	0	0	0	0	0	96	0	0	0
"kai__0083768"	0	0	0	0	0	0	0	0	95	0	0	0
"kai__0432330"	0	0	0	0	0	0	0	0	95	0	0	0
"kai__0028033"	0	0	0	0	0	0	0	0	94	0	0	0
"kai__0055968"	0	0	0	0	0	0	0	0	94	41	0	0
"kai__1329200"	0	0	0	0	0	0	0	0	94	0	0	0
"kai__2282741"	0	0	0	0	0	0	0	0	94	0	0	0
"kai__0082202"	0	0	0	0	0	0	0	0	93	0	0	0
"kai__0249529"	0	0	0	0	0	0	0	0	93	0	0	0
"kai__1929105"	0	0	0	0	0	0	0	0	93	0	0	0
"kai__2126544"	0	0	0	0	0	0	0	0	93	0	0	0
"kai__0041707"	0	0	0	0	0	0	0	0	92	0	0	0
"kai__0180162"	0	0	0	0	0	0	0	0	92	0	0	0
"kai__0044259"	0	0	0	0	0	0	0	0	91	0	0	0
"kai__0001839"	0	0	0	0	0	0	0	0	90	23	0	0
"kai__0106589"	0	0	0	0	0	0	0	0	89	0	0	0
"kai__0191373"	0	0	0	0	0	0	0	0	89	0	0	0
"kai__1980680"	0	0	0	0	0	0	0	0	89	0	0	0
"kai__0940557"	0	0	0	0	0	0	0	0	88	0	0	0
"kai__1884934"	0	0	0	0	0	0	0	0	88	0	0	0
"kai__0000657"	0	0	0	0	0	0	0	0	87	0	0	16
"kai__0029331"	0	0	0	0	0	0	0	0	87	0	0	11
"kai__0079603"	0	0	0	0	0	0	0	0	87	0	0	0
"kai__0256818"	0	0	0	0	0	0	0	0	87	41	0	0
"kai__1980675"	0	0	0	0	0	0	0	0	85	0	0	0
"kai__0013334"	0	0	0	0	0	0	0	0	84	0	0	0
"kai__0046468"	0	0	0	0	0	0	0	0	84	0	0	0
"kai__2282742"	0	0	0	0	0	0	0	0	84	0	0	0
"kai__1069494"	0	0	0	0	0	0	0	0	83	0	0	0
"kai__1973275"	0	0	0	0	0	0	0	0	83	0	0	0
"kai__2042899"	0	0	0	0	0	0	0	0	83	0	0	0
"kai__0000724"	0	0	0	0	0	0	0	0	82	27	0	0
"kai__0236752"	0	0	0	0	0	0	0	0	82	0	0	0
"kai__0427925"	0	0	0	0	0	0	0	0	82	0	0	0
"kai__0156454"	0	0	0	0	0	0	0	0	81	0	0	0
"kai__0248038"	0	0	0	0	0	0	0	0	81	0	0	0
"kai__1933048"	0	0	0	0	0	0	0	0	81	0	0	0
"kai__0002023"	0	0	0	0	0	0	0	0	79	0	0	0
"kai__0001101"	0	0	0	0	0	0	0	0	77	0	0	0
"kai__0033870"	0	0	0	0	0	0	0	0	77	0	0	0
"kai__0278993"	0	0	0	0	0	0	0	0	76	0	0	0
"kai__1822464"	0	0	0	0	0	0	0	0	76	10	0	19
"kai__0157226"	0	0	0	0	0	0	0	0	75	0	0	0
"kai__2494209"	0	0	0	0	0	0	0	0	75	0	0	0
"kai__0047054"	0	0	0	0	0	0	0	0	74	0	0	0
"kai__0140458"	0	0	0	0	0	0	0	0	74	0	0	0
"kai__0561442"	0	0	0	0	0	0	0	0	74	0	0	0
"kai__1543703"	0	0	0	0	0	0	0	0	74	0	0	0
"kai__1794910"	0	0	0	0	0	0	0	0	74	0	0	0
"kai__0028138"	0	0	0	0	0	0	0	0	73	0	0	12
"kai__0196082"	0	0	0	0	0	0	0	0	73	0	0	0
"kai__0045669"	0	0	0	0	0	0	0	0	71	41	0	0
"kai__0076632"	0	0	0	0	0	0	0	0	71	0	0	0
"kai__0120831"	0	0	0	0	0	0	0	0	71	0	0	0
"kai__1981050"	0	0	0	0	0	0	0	0	71	0	0	0
"kai__0000018"	0	0	0	0	0	0	0	0	70	0	0	0
"kai__0028196"	0	0	0	0	0	0	0	0	70	0	0	0
"kai__0000416"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__0028263"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__0342658"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__0346096"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__0423604"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__0471824"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__1769008"	0	0	0	0	0	0	0	0	69	0	0	0
"kai__1640153"	0	0	0	0	0	0	0	0	68	0	0	0
"kai__0000022"	0	0	0	0	0	0	0	0	67	0	0	0
"kai__0227979"	0	0	0	0	0	0	0	0	67	881	14	0
"kai__0000338"	0	0	0	0	0	0	0	0	66	16	0	0
"kai__0059739"	0	0	0	0	0	0	0	0	66	0	0	0
"kai__0129957"	0	0	0	0	0	0	0	0	66	0	0	0
"kai__0577469"	0	0	0	0	0	0	0	0	66	0	0	0
"kai__0046466"	0	0	0	0	0	0	0	0	65	0	0	0
"kai__1930291"	0	0	0	0	0	0	0	0	65	0	0	0
"kai__0000914"	0	0	0	0	0	0	0	0	64	0	0	0
"kai__0471826"	0	0	0	0	0	0	0	0	64	0	0	0
"kai__0995014"	0	0	0	0	0	0	0	0	64	0	0	0
"kai__0034104"	0	0	0	0	0	0	0	0	63	0	0	0
"kai__0459532"	0	0	0	0	0	0	0	0	63	0	0	0
"kai__0340096"	0	0	0	0	0	0	0	0	62	0	0	0
"kai__1945592"	0	0	0	0	0	0	0	0	62	0	0	0
"kai__0648802"	0	0	0	0	0	0	0	0	61	0	0	0
"kai__0046913"	0	0	0	0	0	0	0	0	60	0	0	0
"kai__0168808"	0	0	0	0	0	0	0	0	60	10	0	0
"kai__0233189"	0	0	0	0	0	0	0	0	60	0	0	0
"kai__0246875"	0	0	0	0	0	0	0	0	60	0	0	0
"kai__0002192"	0	0	0	0	0	0	0	0	59	0	0	0
"kai__0120961"	0	0	0	0	0	0	0	0	59	0	0	0
"kai__0159730"	0	0	0	0	0	0	0	0	59	0	0	0
"kai__0000898"	0	0	0	0	0	0	0	0	58	0	0	0
"kai__0001854"	0	0	0	0	0	0	0	0	58	0	0	0
"kai__0057493"	0	0	0	0	0	0	0	0	58	93	0	0
"kai__0099593"	0	0	0	0	0	0	0	0	58	0	0	0
"kai__0118747"	0	0	0	0	0	0	0	0	58	0	0	0
"kai__0000517"	0	0	0	0	0	0	0	0	57	0	0	0
"kai__0002160"	0	0	0	0	0	0	0	0	57	0	0	0
"kai__0072763"	0	0	0	0	0	0	0	0	57	41	0	0
"kai__0129001"	0	0	0	0	0	0	0	0	57	0	0	0
"kai__0337670"	0	0	0	0	0	0	0	0	57	0	0	0
"kai__0000702"	0	0	0	0	0	0	0	0	56	0	0	0
"kai__0001696"	0	0	0	0	0	0	0	0	56	1201	0	0
"kai__0265487"	0	0	0	0	0	0	0	0	56	0	0	0
"kai__1184396"	0	0	0	0	0	0	0	0	56	0	0	0
"kai__1276290"	0	0	0	0	0	0	0	0	56	0	0	0
"kai__1471399"	0	0	0	0	0	0	0	0	56	0	0	0
"kai__1979191"	0	0	0	0	0	0	0	0	56	0	0	0
"kai__0289201"	0	0	0	0	0	0	0	0	55	0	0	0
"kai__0165696"	0	0	0	0	0	0	0	0	54	0	0	0
"kai__0000013"	0	0	0	0	0	0	0	0	53	0	0	0
"kai__0332100"	0	0	0	0	0	0	0	0	53	0	0	0
"kai__1433999"	0	0	0	0	0	0	0	0	53	0	0	0
"kai__1765682"	0	0	0	0	0	0	0	0	53	0	0	0
"kai__0000107"	0	0	0	0	0	0	0	0	52	0	0	0
"kai__0002742"	0	0	0	0	0	0	0	0	52	0	0	0
"kai__0203133"	0	0	0	0	0	0	0	0	52	0	0	0
"kai__0002295"	0	0	0	0	0	0	0	0	51	0	0	0
"kai__0059738"	0	0	0	0	0	0	0	0	51	0	0	0
"kai__0078119"	0	0	0	0	0	0	0	0	51	0	0	0
"kai__0165695"	0	0	0	0	0	0	0	0	51	0	0	0
"kai__0516086"	0	0	0	0	0	0	0	0	51	0	0	0
"kai__1884449"	0	0	0	0	0	0	0	0	51	0	0	0
"kai__0000226"	0	0	0	0	0	0	0	0	50	0	0	0
"kai__0000846"	0	0	0	0	0	0	0	0	50	0	0	0
"kai__0042837"	0	0	0	0	0	0	0	0	50	0	0	0
"kai__0191769"	0	0	0	0	0	0	0	0	50	0	0	0
"kai__0001218"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0033926"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0054293"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0069578"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0083681"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0089966"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0150333"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0418453"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__0510701"	0	0	0	0	0	0	0	0	49	0	0	0
"kai__1653174"	0	0	0	0	0	0	0	0	49	21	0	0
"kai__0291988"	0	0	0	0	0	0	0	0	48	0	0	0
"kai__1331051"	0	0	0	0	0	0	0	0	48	0	0	0
"kai__2035811"	0	0	0	0	0	0	0	0	48	0	0	0
"kai__2282743"	0	0	0	0	0	0	0	0	48	0	0	0
"kai__0171412"	0	0	0	0	0	0	0	0	47	0	0	0
"kai__0375928"	0	0	0	0	0	0	0	0	47	0	0	0
"kai__0416916"	0	0	0	0	0	0	0	0	47	0	0	0
"kai__1935206"	0	0	0	0	0	0	0	0	47	0	0	0
"kai__2035349"	0	0	0	0	0	0	0	0	47	0	0	0
"kai__2507545"	0	0	0	0	0	0	0	0	47	0	0	0
"kai__0057665"	0	0	0	0	0	0	0	0	46	0	0	0
"kai__0206664"	0	0	0	0	0	0	0	0	46	0	0	0
"kai__1940406"	0	0	0	0	0	0	0	0	46	0	0	0
"kai__0000475"	0	0	0	0	0	0	0	0	45	0	0	0
"kai__0697279"	0	0	0	0	0	0	0	0	45	0	0	0
"kai__1502725"	0	0	0	0	0	0	0	0	45	0	0	0
"kai__0000270"	0	0	0	0	0	0	0	0	44	0	0	0
"kai__0001865"	0	0	0	0	0	0	0	0	44	0	0	11
"kai__0028261"	0	0	0	0	0	0	0	0	44	0	0	0
"kai__0173479"	0	0	0	0	0	0	0	0	44	0	0	0
"kai__1129704"	0	0	0	0	0	0	0	0	44	0	0	0
"kai__1221880"	0	0	0	0	0	0	0	0	44	0	0	0
"kai__1973272"	0	0	0	0	0	0	0	0	44	0	0	0
"kai__0000265"	0	0	0	0	0	0	0	0	43	43	0	0
"kai__0001813"	0	0	0	0	0	0	0	0	43	0	0	0
"kai__0043988"	0	0	0	0	0	0	0	0	43	0	0	0
"kai__0066848"	0	0	0	0	0	0	0	0	43	0	0	0
"kai__0165697"	0	0	0	0	0	0	0	0	43	0	0	0
"kai__0379899"	0	0	0	0	0	0	0	0	43	0	0	0
"kai__1912215"	0	0	0	0	0	0	0	0	43	13	0	0
"kai__1930830"	0	0	0	0	0	0	0	0	43	0	0	0
"kai__0000544"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0002422"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0070994"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0076833"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0110932"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0111500"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0255204"	0	0	0	0	0	0	0	0	42	22	0	0
"kai__0670486"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0862071"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__1494427"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__1573808"	0	0	0	0	0	0	0	0	42	0	0	0
"kai__0002222"	0	0	0	0	0	0	0	0	41	0	0	0
"kai__0447020"	0	0	0	0	0	0	0	0	41	0	0	0
"kai__0000068"	0	0	0	0	0	0	0	0	40	32	0	0
"kai__0000896"	0	0	0	0	0	0	0	0	40	0	0	0
"kai__0064159"	0	0	0	0	0	0	0	0	40	0	0	0
"kai__0142587"	0	0	0	0	0	0	0	0	40	0	0	0
"kai__0265570"	0	0	0	0	0	0	0	0	40	0	0	0
"kai__0000745"	0	0	0	0	0	0	0	0	39	0	0	18
"kai__0000978"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__0001186"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__0048073"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__0104267"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__1236988"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__1866885"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__2498709"	0	0	0	0	0	0	0	0	39	0	0	0
"kai__0000535"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__0029393"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__0032205"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__0202746"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__0623282"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__1326739"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__1634037"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__1648511"	0	0	0	0	0	0	0	0	38	0	0	0
"kai__0000179"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0000963"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0001152"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0035823"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0040222"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0060919"	0	0	0	0	0	0	0	0	37	20	0	0
"kai__0136491"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0155977"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0182899"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0354354"	0	0	0	0	0	0	0	0	37	0	0	0
"kai__0000081"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0000958"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0042255"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0053246"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0327159"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0414371"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0484508"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__1612157"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__1911565"	0	0	0	0	0	0	0	0	36	0	0	0
"kai__0000075"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0029526"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0045247"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0047251"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0052959"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0068335"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0204037"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0308865"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0442430"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0467084"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__0475965"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__1860139"	0	0	0	0	0	0	0	0	35	0	0	0
"kai__1912217"	0	0	0	0	0	0	0	0	35	10	0	0
"kai__0000843"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__0150059"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__0351195"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__0416949"	0	0	0	0	0	0	0	0	34	14	0	0
"kai__1155934"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__1335745"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__1649478"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__1905726"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__2483368"	0	0	0	0	0	0	0	0	34	0	0	0
"kai__0001740"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0076890"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0160798"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0202949"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0294702"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0551771"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0665874"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__1522429"	0	0	0	0	0	0	0	0	33	0	0	0
"kai__0001177"	0	0	0	0	0	0	0	0	32	0	0	0
"kai__0002735"	0	0	0	0	0	0	0	0	32	0	0	0
"kai__0043773"	0	0	0	0	0	0	0	0	32	0	0	0
"kai__0083618"	0	0	0	0	0	0	0	0	32	17	0	0
"kai__0084404"	0	0	0	0	0	0	0	0	32	0	0	0
"kai__0428711"	0	0	0	0	0	0	0	0	32	0	0	0
"kai__0000283"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__0000586"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__0002204"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__0112008"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__0367298"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__1291539"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__1408194"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__1940407"	0	0	0	0	0	0	0	0	31	0	0	0
"kai__0000551"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0002071"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0002220"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0033877"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0068288"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0071655"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0075309"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0149698"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0167639"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0207599"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0231454"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0233191"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0649460"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__1182780"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__1607807"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__1923871"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__2019482"	0	0	0	0	0	0	0	0	30	0	0	0
"kai__0000020"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0001091"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0001234"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0001370"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0002733"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0033976"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0034072"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0161492"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0363276"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0392733"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0456826"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__1255275"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__1433300"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__1434028"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__2017975"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__2026179"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__2170555"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__2508983"	0	0	0	0	0	0	0	0	29	0	0	0
"kai__0001988"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0034084"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0035838"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0049894"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0053460"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0106633"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0265488"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0281915"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0293088"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0307628"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0351094"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0393029"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0482460"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0633405"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__1193324"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__1495038"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__1582879"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__1676651"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__1677050"	0	0	0	0	0	0	0	0	28	0	0	0
"kai__0000357"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0065551"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0076831"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0178440"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0192987"	0	0	0	0	0	0	0	0	27	0	0	10
"kai__0261933"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0312278"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0331971"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0361177"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0768669"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__1434045"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__1609627"	0	0	0	0	0	0	0	0	27	0	0	0
"kai__0000629"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0001056"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0002289"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0032012"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0032636"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0041275"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0227388"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0228398"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0290180"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0437506"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0475960"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__1005722"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__1236218"	0	0	0	0	0	0	0	0	26	0	0	0
"kai__0000780"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0002063"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0035798"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0045989"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0142841"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0196081"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0241192"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0254250"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0292480"	0	0	0	0	0	0	0	0	25	17	0	0
"kai__0651456"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0700450"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__1270155"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__1379908"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__1940395"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__2024958"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__2034765"	0	0	0	0	0	0	0	0	25	0	0	0
"kai__0000933"	0	0	0	0	0	0	0	0	24	0	0	0
